instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 71742 nodes,-1.5000000000000004,-1.50000000000001,-1.8181818181818186,0.3181818181818181,0.21212121212121202,1,0,1,71742,62.617087,60.001446,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 103827 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,103827,60.035092,60.0026127,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,optimal,,27.0,27.0,27.0,0.0,0.0,1,1,1,73556,53.489151,53.463096,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 43288 nodes,inf,37.0,20.0,inf,inf,0,0,,43288,60.027718,60.0009962,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,509,2.210784,2.177961,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (1.050e+02 absolute, 8.739e-05 relative) after 1323 nodes",1201500.0,1201500.0,1201395.0,105.0,8.739076154806491e-05,1,0,1,1323,0.095013,0.0718776,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 82192 nodes,-9430.730724407998,-9476.155197,-9501.0799111915,70.34918678350186,0.0074595690237903535,0,0,1,82192,60.034122,60.0008713,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 60765 nodes,6872.821391197999,6840.96564179,6780.751905523144,92.06948567485506,0.013396170282086504,0,0,1,60765,60.043630,60.001774,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,142,0.088982,0.0618857,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,feasible,stopped at the time limit after 60.00s and 112779 nodes,32523.0,21165.99999999978,13958.037815000107,18564.962184999895,0.5708256367801215,0,0,1,112779,60.049610,60.0006069,adf4f20,Windows-AMD64,2026-09-07T13:23:19+00:00,
